time,LTO,CGU,CPU_NATIVE
0.051811052,0,0,0
0.052133617,0,0,0
0.051773095,0,0,0
0.052946844,0,0,0
0.051627561,0,0,0
0.05165008,0,0,0
0.0516166,0,0,0
0.05161713,0,0,0
0.052085391,0,0,0
0.051576195,0,0,0
0.051703741,0,0,0
0.051538175,0,0,0
0.052040537,0,0,0
0.052578447,0,0,0
0.051659589,0,0,0
0.051679225,0,0,0
0.051888447,0,0,0
0.051812048,0,0,0
0.051579461,0,0,0
0.049360223,0,0,1
0.048928509,0,0,1
0.048941475,0,0,1
0.048882856,0,0,1
0.048977713,0,0,1
0.048684631,0,0,1
0.049322712,0,0,1
0.048870688,0,0,1
0.048864211,0,0,1
0.048648781,0,0,1
0.048770077,0,0,1
0.048588132,0,0,1
0.04902404,0,0,1
0.048733346,0,0,1
0.048760938,0,0,1
0.049164237,0,0,1
0.048969463,0,0,1
0.048686441,0,0,1
0.049027417,0,0,1
0.052021878,0,1,0
0.051445045,0,1,0
0.051366648,0,1,0
0.051370985,0,1,0
0.051386827,0,1,0
0.051418087,0,1,0
0.051410275,0,1,0
0.051325263,0,1,0
0.051281014,0,1,0
0.051268365,0,1,0
0.051207533,0,1,0
0.051289586,0,1,0
0.051320725,0,1,0
0.051381427,0,1,0
0.051362442,0,1,0
0.05142985,0,1,0
0.051383495,0,1,0
0.051231494,0,1,0
0.051441655,0,1,0
0.047925569,0,1,1
0.047884721,0,1,1
0.047569876,0,1,1
0.047452751,0,1,1
0.047854508,0,1,1
0.047628203,0,1,1
0.047606067,0,1,1
0.047515588,0,1,1
0.047560647,0,1,1
0.047560555,0,1,1
0.047854631,0,1,1
0.047596447,0,1,1
0.049442993,0,1,1
0.048044234,0,1,1
0.047988831,0,1,1
0.047705103,0,1,1
0.048845028,0,1,1
0.047594635,0,1,1
0.047604833,0,1,1
0.093397514,1,0,0
0.09395103,1,0,0
0.093144359,1,0,0
0.094129528,1,0,0
0.093778114,1,0,0
0.093609183,1,0,0
0.093115087,1,0,0
0.093186313,1,0,0
0.093400806,1,0,0
0.093926781,1,0,0
0.093516578,1,0,0
0.094798728,1,0,0
0.093332899,1,0,0
0.093212714,1,0,0
0.093574469,1,0,0
0.093412629,1,0,0
0.093656065,1,0,0
0.093183627,1,0,0
0.09476995,1,0,0
0.090039903,1,0,1
0.090121491,1,0,1
0.089513141,1,0,1
0.089696152,1,0,1
0.089441484,1,0,1
0.089518974,1,0,1
0.089779409,1,0,1
0.090073849,1,0,1
0.091748818,1,0,1
0.089419877,1,0,1
0.089401605,1,0,1
0.08947511,1,0,1
0.089663627,1,0,1
0.089576901,1,0,1
0.089879738,1,0,1
0.089732353,1,0,1
0.089589499,1,0,1
0.08961606,1,0,1
0.089659566,1,0,1
0.050394702,1,1,0
0.049911025,1,1,0
0.05008136,1,1,0
0.050015682,1,1,0
0.050065885,1,1,0
0.050010304,1,1,0
0.050060336,1,1,0
0.049983995,1,1,0
0.050256079,1,1,0
0.049985863,1,1,0
0.049943455,1,1,0
0.050036336,1,1,0
0.049954511,1,1,0
0.050088162,1,1,0
0.050126183,1,1,0
0.050128521,1,1,0
0.050498312,1,1,0
0.058650106,1,1,0
0.050428708,1,1,0
0.04433567,1,1,1
0.043895017,1,1,1
0.043845891,1,1,1
0.043997968,1,1,1
0.044288503,1,1,1
0.04381346,1,1,1
0.04389548,1,1,1
0.044255623,1,1,1
0.043955748,1,1,1
0.045320481,1,1,1
0.043966748,1,1,1
0.044044565,1,1,1
0.043813283,1,1,1
0.051809043,1,1,1
0.044330367,1,1,1
0.043985774,1,1,1
0.043873495,1,1,1
0.043806217,1,1,1
0.043860098,1,1,1
